T,TM,tm,H,P,VV,V,VM
,,,,,,,
,,,,,,,
,,,,,,,
27.4,30.3,25,87,0.51,2.6,15.7,27.8
27.7,30,26,87,-,3.1,14.3,24.1
27.3,31,25,90,-,2.9,9.4,24.1
,,,,,,,
,,,,,,,
,,,,,,,
28.6,31.3,27,82,-,4,19.1,27.8
27.8,31,25.3,87,-,3.1,16.1,33.5
28.2,30.9,25.4,84,-,3.1,17.4,25.9
,,,,,,,
,,,,,,,
,,,,,,,
28.7,31,26.2,84,1.02,3.2,8,22.2
28.7,30.3,27.4,86,-,2.9,9.8,20.6
28.6,31.6,26,84,-,2.9,8.1,24.1
,,,,,,,
,,,,,,,
,,,,,,,
27.6,30.5,25,90,0.51,2.6,8.3,24.1
26.2,28.4,24.8,90,-,2.7,10,24.1
26.4,31,24,88,-,2.9,6.7,16.5
,,,,,,,
,,,,,,,
,,,,,,,
26.1,27.4,25,97,-,2.1,12.8,27.8
25.7,27,25,98,-,2.1,16.9,22.2
26.8,30,25,95,-,2.3,16.1,25.9
27.6,30.5,26.6,92,-,2.3,17.2,24.1
,,,,,,,
,,,,,,,
,,,,,,,
28.8,31.6,27,81,0,4,18,24.1
27.9,29.2,27,86,-,3.1,17.8,29.4
27.2,29.3,25,89,-,2.9,15,25.9
,,,,,,,
,,,,,,,
,,,,,,,
28.2,31.3,26.8,82,-,3.2,11.5,20.6
28.1,31.6,26,82,-,3.9,11.3,22.2
28.3,31.7,26,80,0,4.3,10.2,24.1
,,,,,,,
,,,,,,,
,,,,,,,
27,29.4,25.6,90,-,2.7,9.8,22.2
28,30.1,25,82,-,3.4,12.2,24.1
28.1,31,24,80,-,3.4,8,20.6
,,,,,,,
,,,,,,,
,,,,,,,
28.9,32,26,80,-,4.5,3.1,11.1
28.4,31.3,25.9,84,-,2.4,6.5,14.8
30.9,35.3,27,74,0,2.4,8.7,18.3
,,,,,,,
,,,,,,,
,,,,,,,
28.3,33,25,76,0,2.4,9.8,24.1
30.5,35,25.4,67,0,2.7,9.1,18.3
31.1,35,26,69,0,2.9,9.1,22.2
,,,,,,,
,,,,,,,
,,,,,,,
28.1,32.8,24.3,77,-,2.6,11.1,35.2
28.8,32.7,24.6,76,0,3.7,9.3,24.1
29.6,34,25.4,73,0,3.2,9.4,22.2
,,,,,,,
,,,,,,,
,,,,,,,
30.1,34,24.9,69,0,2.9,9.3,18.3
29.3,32.8,24.2,78,0,2.7,9.4,16.5
31.1,36,25.6,68,0,2.4,6.9,20.6
,,,,,,,
,,,,,,,
,,,,,,,
30.8,35.3,25,60,0,2.9,7.6,18.3
30.9,36.6,26,64,0,3.1,10.2,18.3
31.4,36.8,27,59,0,3.2,9.8,20.6
,,,,,,,
,,,,,,,
,,,,,,,
27.2,29.3,25.3,55,-,3.4,11.9,22.2
27.4,30.5,23.6,60,0,3.5,8.9,14.8
27.7,30,24.1,64,-,3.5,4.8,11.1
,,,,,,,
,,,,,,,
,,,,,,,
29.1,35.5,22,52,0,3.2,7.8,18.3
29.5,36,21.6,54,0,2.6,8,18.3
29.7,35.3,22,50,0,2.6,6.7,18.3
30.4,37,21.8,53,0,2.6,8.5,18.3
,,,,,,,
,,,,,,,
